view,ClubType,Distance,Carry,LrDistanceOut,DirectionAngle,SpinBack,SpinSide,SpinAxis,BallSpeed,0-LOWER-ANGLE,0-SHOULDER-ANGLE,0-SPINE-ANGLE,0-STANCE-RATIO,0-UPPER-TILT,1-HEAD-LOC,1-HIP-LINE,1-HIP-ROTATION,1-HIP-SHIFTED,1-LEFT-ARM-ANGLE,1-RIGHT-ARM-ANGLE,1-SHOULDER-ANGLE,1-SHOULDER-LOC,1-SPINE-ANGLE,2-HEAD-LOC,2-HIP-ANGLE,2-HIP-LINE,2-HIP-ROTATION,2-HIP-SHIFTED,2-LEFT-ARM-ANGLE,2-SHOULDER-ANGLE,2-SHOULDER-LOC,2-UPPER-TILT,3-HEAD-LOC,3-HIP-ANGLE,3-HIP-LINE,3-HIP-ROTATION,3-HIP-SHIFTED,3-LEFT-LEG-ANGLE,3-RIGHT-ARM-ANGLE,3-RIGHT-DISTANCE,3-RIGHT-LEG-ANGLE,3-SHOULDER-ANGLE,3-SHOULDER-LOC,4-HEAD-LOC,4-HIP-ANGLE,4-HIP-HANGING-BACK,4-HIP-LINE,4-HIP-ROTATION,4-HIP-SHIFTED,4-RIGHT-ARM-ANGLE,4-RIGHT-ARMPIT-ANGLE,4-SHOULDER-HANGING-BACK,4-SPINE-ANGLE,5-HEAD-LOC,5-HIP-HANGING-BACK,5-HIP-LINE,5-HIP-SHIFTED,5-LEFT-ARM-ANGLE,5-LEFT-LEG-ANGLE,5-RIGHT-ARM-ANGLE,5-SHOULDER-ANGLE,5-SHOULDER-HANGING-BACK,5-SPINE-ANGLE,6-HEAD-LOC,6-HIP-ANGLE,6-HIP-LINE,6-HIP-SHIFTED,6-LEFT-ARM-ANGLE,6-RIGHT-LEG-ANGLE,6-SHOULDER-ANGLE,6-SPINE-ANGLE,6-WEIGHT-SHIFT,7-FINISH-ANGLE,7-HIP-ANGLE,7-HIP-LINE,7-HIP-SHIFTED,7-SHOULDER-ANGLE,7-SPINE-ANGLE
FACEON,I7,121.8,113.9,1.5,1.1,6277,-54,-0.492894021,43.6,,11.2,,1.12,0.69,-0.04,,3.95,-0.13,161.81,161.81,,13.91,,-0.13,,,8.08,-0.17,163.74,,27.54,0.82,-0.28,,,7.7,-0.32,,,,180,,27.66,-0.23,,0.23,,0,-0.09,,49.46,0.17,,-0.44,0.03,,0.47,152.87,,160.05,24.32,0.13,,-0.25,,,0.72,168.52,144.1,,,0,85.97,,,0.71,,
FACEON,W1,170,153.1,-41.7,-6.9,1254,-1385,-47.84183068,56.2,,18.19,,1.5,0.63,-0.14,,9.76,-0.66,146.1,163.74,,57,,-0.33,,,9.76,-0.88,130.54,,88.78,0.75,-0.5,,,9.76,,,,,171.89,,103.45,-0.4,,0.54,,9.76,-0.58,,37.81,0.81,,-0.58,0.3,,0.12,154.16,,141.26,35.2,0.6,,-0.47,,,0.37,152.87,171.89,,,94.39,85.17,,,0.17,,
FACEON,W1,228.4,214.5,-0.2,-3.5,1991,333,9.494985325,63,,15.3,,1.37,0.66,-0.15,,8.06,-0.53,171.89,137.73,,44.93,,-0.24,,,8.96,-0.7,163.74,,56.77,0.8,0.12,,,14.29,-0.77,,,,161.81,,56.49,0.16,,0.36,,3.76,-0.07,,28.36,0.45,,0.23,0.16,,0.41,147.14,,147.14,14.7,0.19,,0.01,,,0.46,163.74,163.74,,,93.96,83,,,0.37,,
FACEON,W1,205.9,188,1,2,1591,-294,-10.46955277,58.7,,14.3,,1.6,0.64,0.16,,3.48,-0.03,156.93,161.81,,18.07,,0,,,176.52,0.17,165.93,,48.1,0.68,-0.26,,,3.48,-0.26,,,,180,,40.66,-0.1,,0.29,,3.48,-0.09,,14.07,0.32,,-0.14,0.24,,-0.09,165.93,,124.75,3.62,0.24,,-0.22,,,-0.03,180,180,,,91.11,77.35,,,-6.67,,
FACEON,W1,172.7,158,-0.2,-1.8,2213,252,6.496434498,51.4,,12.85,,1.64,0.56,-0.47,,3.68,-0.41,163.74,180,,47.15,,-0.74,,,7.28,-0.57,165.93,,69.37,0.76,-0.18,,,176.32,-0.28,,,,86.56,,10.72,-0.41,,0.4,,3.68,-0.31,,19.95,0.54,,-0.42,0.37,,-0.28,141.26,,135.23,18.25,0.39,,-0.52,,,0.08,165.93,171.89,,,86.44,67.92,,,0.33,,
FACEON,I7,127.3,115,1,0,4320,264,3.497059739,43,,5.48,,0.9,0.66,-0.21,,5.06,-0.16,129.79,155.51,,10,,-0.31,,,5.06,-0.11,165.93,,30.1,0.75,-0.63,,,5.06,-0.19,,,,180,,49.74,-0.46,,0.16,,5.06,-0.15,,47.16,0.26,,-0.54,0.16,,-0.05,165.93,,168.52,18.34,0.1,,-0.69,,,0.18,165.93,180,,,98.6,85.14,,,0.95,,
FACEON,W1,136.9,110.4,-4.3,-4.9,1255,420,18.50340253,51.3,,12.83,,1.18,0.61,0.07,,8.02,-0.13,180,143.13,,20,,0.15,,,12.22,-0.25,163.74,,30.43,0.75,0.05,,,12.04,-0.29,,,,168.52,,37.22,0.12,,0.19,,8.02,0.07,,28.36,0.19,,-0.23,0.12,,0.42,171.89,,155.51,20.3,0.23,,-0.14,,,0.61,158.43,165.93,,,97.36,90,,,0.8,,
FACEON,W1,150.7,136.1,-42.7,-11.9,2681,-743,-15.48993616,47.7,,17.73,,1.41,0.64,-0.25,,8.45,-0.7,147.14,168.52,,59.22,,-0.24,,,8.45,-0.9,144.1,,81.28,0.75,-0.59,,,8.45,-0.97,,,,171.89,,88.44,-0.35,,0.44,,3.63,-0.45,,50.95,0.76,,-0.21,0.25,,0.16,163.74,,168.52,27.58,0.4,,-0.03,,,0.48,161.81,161.81,,,97.19,87.25,,,0.47,,
FACEON,W1,189.6,175.8,2.8,0.2,2639,92,1.996619112,55.1,,14.51,,2.05,0.53,-0.21,,25.83,-0.25,165.93,130.54,,57.18,,-0.19,,,26.8,-0.36,180,,65,0.75,-0.39,,,17.24,-0.5,,,,180,,52.45,0.06,,0.32,,20.61,0.02,,49.46,0.54,,0.28,0.22,,0.4,171.89,,150.46,19.42,0.32,,0.07,,,0.63,142.19,163.74,,,93.62,74.02,,,0.86,,
FACEON,W1,205.7,181.6,0,0.9,1375,-132,-5.483590444,61,,15.26,,1.27,0.77,-0.26,,7.35,-0.33,158.43,87.13,,-65.75,,-0.12,,,7.35,-0.48,18.19,,-70.13,0.82,0.22,,,7.35,-0.48,,,,171.89,,-69.51,0.17,,0.34,,7.35,0.06,,71.94,0,,0.3,1.52,,0.42,168.52,,160.05,0,0,,0.3,,,0.18,35.9,171.89,,,83.87,90,,,0.97,,
